seed,decisionIndex,microturnClass,elapsedMs,previewBranch,candidateCount,encodedStateBuildCount,encodedStateCacheObjectHitCount,encodedStateCacheHashHitCount,encodedStateCacheMissCount,bytecodeCacheCompileCount,wasmScoreRowRouteCount,wasmScoreRowUnsupportedCount,wasmPreviewCandidateFeatureRowRouteCount,wasmPreviewCandidateFeatureRowUnsupportedCount,wasmProductionPreviewDriveBatchCount,tokenStateIndexBuildCount,persistentTokenStateIndexCacheHitCount,persistentTokenStateIndexCacheMissCount,persistentTokenStateIndexCacheWriteCount,zobristKeyCacheHitCount,zobristKeyCacheMissCount,staticRebuildCount,seatId,profileId,turnCount,turnId,decisionKind,previewCapClass,selectedStableMoveKey
1005,0,event,61.9187,singlePass,17,1,0,0,1,10,1,0,0,1,0,0,0,0,7,2629,10,3,us,us-baseline,0,0,actionSelection,standard256,"event|{""eventCardId"":""card-48"",""eventDeckId"":""fitl-events-initial-card-pack"",""side"":""shaded""}|false|event"
1005,1,chooseOne:chooseOne,0.547,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:eventTarget:0:$targetProvince::$targetProvince:""pleiku-darlac:none"""
1005,2,event-decision:chooseOne,0.0498,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:doc.eventDecks.0.cards.47.shaded.targets.0.effects.0.chooseOne::$coinBaseToRemove:""tok_us-bases_46"""
1005,3,train,40.2326,singlePass,10,1,0,0,1,10,1,0,2,0,18,0,0,0,0,0,0,1,arvn,arvn-evolved,0,1,actionSelection,standard256,train|{}|false|operation
1005,4,train:chooseNStep:add,2720.9327,continuedDeepening,26,0,906,2081,0,0,0,0,0,0,0,0,0,0,0,1465222,226,0,arvn,arvn-evolved,0,1,chooseNStep,deep1024,"chooseNStep:decision:doc.actionPipelines.1.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""binh-dinh:none"""
1005,5,train:chooseNStep:add,2576.2102,continuedDeepening,27,0,924,1976,0,0,0,0,0,0,0,0,0,0,0,1448847,1,0,arvn,arvn-evolved,0,1,chooseNStep,deep1024,"chooseNStep:decision:doc.actionPipelines.1.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""an-loc:none"""
1005,6,train:chooseNStep:confirm,2459.1149,continuedDeepening,27,0,815,1849,0,0,0,0,0,0,0,0,0,0,0,1385279,0,0,arvn,arvn-evolved,0,1,chooseNStep,deep1024,chooseNStep:decision:doc.actionPipelines.1.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:confirm:null
1005,7,train:chooseOne,28.52,continuedDeepening,2,0,6,6,0,0,0,0,0,0,0,0,0,0,7,11557,0,0,arvn,arvn-evolved,0,1,chooseOne,deep1024,"chooseOne:decision:doc.actionPipelines.1.stages[1].effects.0.forEach.effects.0.chooseOne::$trainChoice[0]:""rangers"""
1005,8,train:chooseOne,25.3148,continuedDeepening,2,0,4,4,0,0,0,0,0,0,0,0,0,0,5,8388,12,0,arvn,arvn-evolved,0,1,chooseOne,deep1024,"chooseOne:decision:doc.actionPipelines.1.stages[1].effects.0.forEach.effects.0.chooseOne::$trainChoice[1]:""rangers"""
1005,9,train:chooseNStep:confirm,39.0366,continuedDeepening,3,0,7,5,0,0,0,0,0,0,0,0,0,0,0,14211,9,0,arvn,arvn-evolved,0,1,chooseNStep,deep1024,chooseNStep:decision:doc.actionPipelines.1.stages[1].effects.0.forEach.effects.1.if.then.1.forEach.in.0.let.in.0.if.then.0.chooseN::$__macro_place_from_available_or_map_actionPipelines_1__stages_1__effects_0__forEach_effects_1__if_then_1__sourceSpaces[1]:confirm:null
1005,10,train:chooseNStep:add,47.1079,continuedDeepening,3,0,10,4,0,0,0,0,0,0,0,0,0,0,0,12617,1,0,arvn,arvn-evolved,0,1,chooseNStep,deep1024,"chooseNStep:decision:doc.actionPipelines.1.stages[2].effects.0.if.else.0.chooseN::$subActionSpaces:add:""binh-dinh:none"""
1005,11,train:chooseNStep:confirm,0.1361,none,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arvn,arvn-evolved,0,1,chooseNStep,deep1024,chooseNStep:decision:doc.actionPipelines.1.stages[2].effects.0.if.else.0.chooseN::$subActionSpaces:confirm:null
1005,12,train:chooseOne,24.2498,continuedDeepening,3,0,2,1,0,0,0,0,0,0,0,0,0,0,3,5436,0,0,arvn,arvn-evolved,0,1,chooseOne,deep1024,"chooseOne:decision:doc.actionPipelines.1.stages[2].effects.1.forEach.effects.0.chooseOne::$subAction[0]:""pacify"""
1005,13,rally,17.9411,singlePass,13,1,0,0,1,4,1,0,0,2,0,0,0,0,5,1113,17,1,vc,vc-baseline,0,2,actionSelection,standard256,rally|{}|false|operation
1005,14,rally:chooseNStep:add,0.0656,none,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vc,vc-baseline,0,2,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""the-fishhook:none"""
1005,15,rally:chooseNStep:confirm,0.0429,none,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vc,vc-baseline,0,2,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:confirm:null
1005,16,rally:chooseOne,0.0357,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vc,vc-baseline,0,2,chooseOne,standard256,"chooseOne:decision:doc.actionPipelines.9.stages[1].effects.0.forEach.effects.1.let.in.0.if.then.0.if.else.0.chooseOne::$noBaseChoice[0]:""place-guerrilla"""
1005,17,assault,9.645,singlePass,4,1,0,0,1,1,1,0,1,0,3,0,0,0,0,0,0,1,us,us-baseline,0,3,actionSelection,standard256,assault|{}|false|limitedOperation
1005,18,assault:chooseNStep:add,0.0907,none,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,us,us-baseline,0,3,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.6.stages[0].effects.0.if.then.0.chooseN::$targetSpaces:add:""pleiku-darlac:none"""
1005,19,assault:chooseNStep:confirm,0.0456,none,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,us,us-baseline,0,3,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.6.stages[0].effects.0.if.then.0.chooseN::$targetSpaces:confirm:null
