seed,decisionIndex,microturnClass,elapsedMs,previewBranch,candidateCount,encodedStateBuildCount,encodedStateCacheObjectHitCount,encodedStateCacheHashHitCount,encodedStateCacheMissCount,bytecodeCacheCompileCount,wasmScoreRowRouteCount,wasmScoreRowUnsupportedCount,wasmPreviewCandidateFeatureRowRouteCount,wasmPreviewCandidateFeatureRowUnsupportedCount,wasmProductionPreviewDriveRouteCount,wasmProductionPreviewDriveUnsupportedCount,wasmProductionPreviewDriveUnsupportedReasons,wasmProductionPreviewDriveBatchCount,tokenStateIndexBuildCount,persistentTokenStateIndexCacheHitCount,persistentTokenStateIndexCacheMissCount,persistentTokenStateIndexCacheWriteCount,zobristKeyCacheHitCount,zobristKeyCacheMissCount,staticRebuildCount,hotPathBuckets,seatId,profileId,turnCount,turnId,decisionKind,previewCapClass,selectedStableMoveKey
1005,0,event,60.2556,singlePass,17,1,0,0,1,10,1,0,0,1,0,1,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.cardEventAction"",""reason"":""production preview-drive does not route card event action candidates"",""count"":1}]",0,0,0,0,7,2629,10,3,"[{""key"":""publish:isSupportedFrameContinuationMove"",""count"":9,""totalMs"":7.1554},{""key"":""publish:isSupportedContinuationResult:probeMoveViability"",""count"":26,""totalMs"":6.7529},{""key"":""zobrist:digestDecisionStackFrame"",""count"":14,""totalMs"":2.3879},{""key"":""publish:isSupportedContinuationResult:isBridgeableNextDecision"",""count"":13,""totalMs"":1.7433},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":14,""totalMs"":1.3543},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":53,""totalMs"":1.2397},{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":10,""totalMs"":0.7847},{""key"":""publish:isSupportedFrameContinuationMove:resumeSuspendedEffectFrame"",""count"":9,""totalMs"":0.7685},{""key"":""evalQuery:applyTokenFilter"",""count"":38,""totalMs"":0.3351},{""key"":""evalQuery:countMatchingTokens"",""count"":487,""totalMs"":0.292},{""key"":""publish:isSupportedContinuationResult:isPublishedMoveAdmitted"",""count"":26,""totalMs"":0.0155},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":40,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":38,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":12416,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":487,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":25812,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":10,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":9,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0},{""key"":""publish:isSupportedFrameContinuationMove:suspendedFrame"",""count"":9,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":76,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":302591,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":14,""totalMs"":0}]",us,us-baseline,0,0,actionSelection,standard256,"event|{""eventCardId"":""card-48"",""eventDeckId"":""fitl-events-initial-card-pack"",""side"":""shaded""}|false|event"
1005,1,chooseOne:chooseOne,0.5347,none,1,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:eventTarget:0:$targetProvince::$targetProvince:""pleiku-darlac:none"""
1005,2,event-decision:chooseOne,0.0465,none,1,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:doc.eventDecks.0.cards.47.shaded.targets.0.effects.0.chooseOne::$coinBaseToRemove:""tok_us-bases_46"""
1005,3,govern,6.8613,none,10,1,0,0,1,0,0,0,0,0,0,0,[],1,0,0,0,0,0,0,1,"[{""key"":""evalQuery:countMatchingTokens"",""count"":10,""totalMs"":0.0095},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1419,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":10,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":2668,""totalMs"":0}]",arvn,arvn-evolved,0,1,actionSelection,standard256,govern|{}|false|operationPlusSpecialActivity
1005,4,govern:chooseNStep:add,269.7519,continuedDeepening,8,0,47,81,0,0,0,0,0,0,0,8,"[{""unsupportedDriveClass"":""agent-guided-completion"",""unsupportedOwner"":""production-deep-choosenstep-continuation.pickInnerDecision"",""reason"":""deep preview-drive selected a non-chooseNStep continuation decision"",""count"":8}]",0,0,0,0,0,119815,86,0,"[{""key"":""publish:isSupportedFrameContinuationMove"",""count"":272,""totalMs"":82.1997},{""key"":""publish:isSupportedContinuationResult:probeMoveViability"",""count"":376,""totalMs"":78.5741},{""key"":""publish:chooseOne:legalActions"",""count"":24,""totalMs"":17.8303},{""key"":""publish:isSupportedFrameContinuationMove:resumeSuspendedEffectFrame"",""count"":272,""totalMs"":10.7882},{""key"":""publish:isSupportedContinuationResult:isBridgeableNextDecision"",""count"":288,""totalMs"":8.5321},{""key"":""zobrist:digestDecisionStackFrame"",""count"":176,""totalMs"":8.2487},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":216,""totalMs"":7.7618},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":790,""totalMs"":5.4531},{""key"":""evalQuery:countMatchingTokens"",""count"":798,""totalMs"":0.8741},{""key"":""evalQuery:applyTokenFilter"",""count"":475,""totalMs"":0.7118},{""key"":""publish:isSupportedContinuationResult:isPublishedMoveAdmitted"",""count"":376,""totalMs"":0.0965},{""key"":""publish:chooseOne:rebuildMoveFromFrame"",""count"":24,""totalMs"":0.0947},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":199,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":475,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":43834,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":798,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":92970,""totalMs"":0},{""key"":""publish:chooseOne:legalActionsResult"",""count"":48,""totalMs"":0},{""key"":""publish:chooseOne:options"",""count"":48,""totalMs"":0},{""key"":""publish:isSupportedFrameContinuationMove:suspendedFrame"",""count"":272,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":1120,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":991833,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheHit"",""count"":40,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":176,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":584,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseNStep,deep1024,"chooseNStep:decision:doc.actionPipelines.20.stages[0].effects.0.if.else.0.if.else.0.chooseN::$targetSpaces:add:""an-loc:none"""
1005,5,govern:chooseNStep:confirm,197.1785,continuedDeepening,9,0,34,15,0,0,0,0,0,0,0,7,"[{""unsupportedDriveClass"":""unknown"",""unsupportedOwner"":""production-deep-choosenstep-continuation.projectedState"",""reason"":""deep preview-drive reached a terminal boundary before materializing a WASM projected state"",""count"":7}]",0,0,0,0,0,53052,0,0,"[{""key"":""publish:isSupportedContinuationResult:probeMoveViability"",""count"":322,""totalMs"":41.2579},{""key"":""publish:isSupportedFrameContinuationMove"",""count"":49,""totalMs"":14.0382},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":2037,""totalMs"":12.5804},{""key"":""publish:chooseOne:legalActions"",""count"":14,""totalMs"":9.3415},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":56,""totalMs"":2.2251},{""key"":""publish:isSupportedFrameContinuationMove:resumeSuspendedEffectFrame"",""count"":49,""totalMs"":2.0915},{""key"":""zobrist:digestDecisionStackFrame"",""count"":36,""totalMs"":1.9665},{""key"":""evalQuery:applyTokenFilter"",""count"":1218,""totalMs"":1.2465},{""key"":""evalQuery:countMatchingTokens"",""count"":1246,""totalMs"":1.2156},{""key"":""publish:isSupportedContinuationResult:isBridgeableNextDecision"",""count"":119,""totalMs"":1.0536},{""key"":""publish:isSupportedContinuationResult:isPublishedMoveAdmitted"",""count"":322,""totalMs"":0.0804},{""key"":""publish:chooseOne:rebuildMoveFromFrame"",""count"":14,""totalMs"":0.0573},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":525,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":1218,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":67438,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":1246,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":139662,""totalMs"":0},{""key"":""publish:chooseOne:legalActionsResult"",""count"":28,""totalMs"":0},{""key"":""publish:chooseOne:options"",""count"":28,""totalMs"":0},{""key"":""publish:isSupportedFrameContinuationMove:suspendedFrame"",""count"":49,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":2695,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":228294,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheHit"",""count"":20,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":36,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":196,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseNStep,deep1024,chooseNStep:decision:doc.actionPipelines.20.stages[0].effects.0.if.else.0.if.else.0.chooseN::$targetSpaces:confirm:null
1005,6,govern:chooseOne,3.6299,continuedDeepening,2,0,1,1,0,0,0,0,0,0,0,0,[],0,0,0,0,2,1399,3,0,"[{""key"":""policyPreviewInner:chooseOne:initialApply"",""count"":2,""totalMs"":1.2883},{""key"":""policyPreviewInner:chooseOne:resolveRefs"",""count"":2,""totalMs"":0.7517},{""key"":""policyPreviewInner:chooseOne:canonicalizeForExit"",""count"":2,""totalMs"":0.2977},{""key"":""evalQuery:countMatchingTokens"",""count"":2,""totalMs"":0.0049},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1954,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":2,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":3692,""totalMs"":0},{""key"":""policyPreviewInner:chooseOne:finish:ready"",""count"":2,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseOne,deep1024,"chooseOne:decision:doc.actionPipelines.20.stages[1].effects.1.forEach.effects.0.chooseOne::$governMode@an-loc:none[0]:""patronage"""
1005,7,rally,17.6506,singlePass,13,1,0,0,1,4,1,0,0,2,0,2,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.cardEventAction"",""reason"":""production preview-drive does not route card event action candidates"",""count"":2}]",0,0,0,0,5,1102,18,1,"[{""key"":""publish:isSupportedContinuationResult:probeMoveViability"",""count"":17,""totalMs"":1.9864},{""key"":""publish:isSupportedFrameContinuationMove"",""count"":4,""totalMs"":1.3124},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":146,""totalMs"":0.839},{""key"":""zobrist:digestDecisionStackFrame"",""count"":4,""totalMs"":0.3547},{""key"":""publish:isSupportedFrameContinuationMove:resumeSuspendedEffectFrame"",""count"":4,""totalMs"":0.2418},{""key"":""publish:isSupportedContinuationResult:isBridgeableNextDecision"",""count"":7,""totalMs"":0.2284},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":4,""totalMs"":0.2141},{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":4,""totalMs"":0.1781},{""key"":""evalQuery:countMatchingTokens"",""count"":119,""totalMs"":0.1069},{""key"":""evalQuery:applyTokenFilter"",""count"":82,""totalMs"":0.0848},{""key"":""publish:isSupportedContinuationResult:isPublishedMoveAdmitted"",""count"":17,""totalMs"":0.0048},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":45,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":82,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":6028,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":119,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":12176,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":4,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":3,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0},{""key"":""publish:isSupportedFrameContinuationMove:suspendedFrame"",""count"":4,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":192,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":44946,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":4,""totalMs"":0}]",vc,vc-baseline,0,2,actionSelection,standard256,rally|{}|false|operation
1005,8,rally:chooseNStep:add,0.0955,none,22,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,2,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""central-laos:none"""
1005,9,rally:chooseNStep:confirm,0.0558,none,23,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,2,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:confirm:null
1005,10,rally:chooseOne,0.0435,none,1,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,2,chooseOne,standard256,"chooseOne:decision:doc.actionPipelines.9.stages[1].effects.0.forEach.effects.1.let.in.0.if.then.0.if.else.0.chooseOne::$noBaseChoice[0]:""place-guerrilla"""
1005,11,assault,3.6539,none,4,1,0,0,1,0,0,0,0,0,0,0,[],1,0,0,0,0,0,0,1,"[{""key"":""evalQuery:applyTokenFilter"",""count"":6,""totalMs"":0.012},{""key"":""evalQuery:countMatchingTokens"",""count"":10,""totalMs"":0.0078},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":6,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1456,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":10,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":2773,""totalMs"":0}]",us,us-baseline,0,3,actionSelection,standard256,assault|{}|false|limitedOperation
1005,12,assault:chooseNStep:add,0.0968,none,3,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],us,us-baseline,0,3,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.6.stages[0].effects.0.if.then.0.chooseN::$targetSpaces:add:""pleiku-darlac:none"""
1005,13,assault:chooseNStep:confirm,0.0745,none,2,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],us,us-baseline,0,3,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.6.stages[0].effects.0.if.then.0.chooseN::$targetSpaces:confirm:null
1005,14,assault:chooseNStep:confirm,0.0412,none,2,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],us,us-baseline,0,3,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.6.stages[4].effects.0.if.then.0.if.then.0.chooseN::$arvnFollowupSpaces:confirm:null
1005,15,coupVictoryCheck,3.6465,none,1,1,0,0,1,0,0,0,0,0,0,0,[],1,0,0,0,0,0,0,1,"[{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1413,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":2658,""totalMs"":0}]",us,us-baseline,0,4,actionSelection,standard256,coupVictoryCheck|{}|false|pass
1005,16,coupResourcesResolve,2.3657,none,1,0,0,1,0,0,0,0,0,0,0,0,[],1,0,0,0,0,0,0,0,"[{""key"":""evalQuery:applyTokenFilter"",""count"":2,""totalMs"":0.0119},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":2,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1585,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":3092,""totalMs"":0}]",us,us-baseline,0,5,actionSelection,standard256,coupResourcesResolve|{}|false|pass
1005,17,coupPacifyPass,4.252,none,4,1,0,0,1,0,0,0,0,0,0,0,[],1,0,0,0,0,0,0,1,"[{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1413,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":2658,""totalMs"":0}]",us,us-baseline,0,6,actionSelection,standard256,coupPacifyPass|{}|false|pass
1005,18,coupPacifyARVN,1.4495,none,7,0,0,1,0,0,0,0,0,1,0,1,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.actionBatch"",""reason"":""production preview-drive requires deterministic shared scalar runtime bindings"",""count"":1}]",1,0,0,0,0,0,0,0,"[{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":942,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":1772,""totalMs"":0}]",arvn,arvn-evolved,0,7,actionSelection,standard256,"coupPacifyARVN|{""targetSpace"":""an-loc:none"",""action"":""shiftSupport""}|false|operation"
1005,19,coupPacifyARVN,2.3763,none,7,1,0,0,1,0,0,0,0,1,0,1,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.actionBatch"",""reason"":""production preview-drive requires deterministic shared scalar runtime bindings"",""count"":1}]",1,0,0,0,0,0,0,1,"[{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":942,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":1772,""totalMs"":0}]",arvn,arvn-evolved,0,8,actionSelection,standard256,"coupPacifyARVN|{""targetSpace"":""an-loc:none"",""action"":""shiftSupport""}|false|operation"
1005,20,coupPacifyARVN,2.3733,none,6,1,0,0,1,0,0,0,0,1,0,1,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.actionBatch"",""reason"":""production preview-drive requires deterministic shared scalar runtime bindings"",""count"":1}]",1,0,0,0,0,0,0,1,"[{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":942,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":1772,""totalMs"":0}]",arvn,arvn-evolved,0,9,actionSelection,standard256,"coupPacifyARVN|{""targetSpace"":""cam-ranh:none"",""action"":""shiftSupport""}|false|operation"
1005,21,coupPacifyARVN,2.3186,none,5,1,0,0,1,0,0,0,0,1,0,1,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.actionBatch"",""reason"":""production preview-drive requires deterministic shared scalar runtime bindings"",""count"":1}]",1,0,0,0,0,0,0,1,"[{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":942,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":1772,""totalMs"":0}]",arvn,arvn-evolved,0,10,actionSelection,standard256,"coupPacifyARVN|{""targetSpace"":""can-tho:none"",""action"":""shiftSupport""}|false|operation"
1005,22,coupPacifyARVN,1.9914,none,4,1,0,0,1,0,0,0,0,1,0,1,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.actionBatch"",""reason"":""production preview-drive requires deterministic shared scalar runtime bindings"",""count"":1}]",1,0,0,0,0,0,0,1,"[{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":942,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":1772,""totalMs"":0}]",arvn,arvn-evolved,0,11,actionSelection,standard256,"coupPacifyARVN|{""targetSpace"":""hue:none"",""action"":""shiftSupport""}|false|operation"
1005,23,coupPacifyARVN,2.8105,none,2,1,0,0,1,0,0,0,0,0,0,0,[],1,0,0,0,0,0,0,1,"[{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1413,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":2658,""totalMs"":0}]",arvn,arvn-evolved,0,12,actionSelection,standard256,"coupPacifyARVN|{""targetSpace"":""hue:none"",""action"":""shiftSupport""}|false|operation"
1005,24,coupPacifyPass,3.0823,none,1,1,0,0,1,0,0,0,0,0,0,0,[],1,0,0,0,0,0,0,1,"[{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1413,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":2658,""totalMs"":0}]",arvn,arvn-evolved,0,13,actionSelection,standard256,coupPacifyPass|{}|false|pass
1005,25,coupAgitatePass,1.6552,none,3,0,0,1,0,0,0,0,0,0,0,0,[],1,0,0,0,0,0,0,0,"[{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1413,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":2658,""totalMs"":0}]",vc,vc-baseline,0,14,actionSelection,standard256,coupAgitatePass|{}|false|pass
1005,26,coupRedeployPass,1.6749,none,1,0,0,1,0,0,0,0,0,0,0,0,[],1,0,0,0,0,0,0,0,"[{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1413,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":2658,""totalMs"":0}]",us,us-baseline,0,15,actionSelection,standard256,coupRedeployPass|{}|false|pass
1005,27,coupArvnRedeployOptionalTroops,2.1667,none,20,0,0,1,0,0,0,0,0,1,0,1,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.actionBatch"",""reason"":""production preview-drive requires deterministic shared scalar runtime bindings"",""count"":1}]",1,0,0,0,0,0,0,0,"[{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":942,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":1772,""totalMs"":0}]",arvn,arvn-evolved,0,16,actionSelection,standard256,"coupArvnRedeployOptionalTroops|{""sourceSpace"":""an-loc:none""}|false|operation"
1005,28,coupArvnRedeployOptionalTroops:chooseOne,38.0822,continuedDeepening,8,0,63,9,0,0,0,0,0,0,0,0,[],0,0,0,0,8,6052,46,0,"[{""key"":""policyPreviewInner:chooseOne:loopPublish"",""count"":8,""totalMs"":21.5388},{""key"":""publish:chooseOne:legalActions"",""count"":8,""totalMs"":21.4784},{""key"":""publish:isSupportedFrameContinuationMove"",""count"":64,""totalMs"":21.4049},{""key"":""publish:isSupportedContinuationResult:probeMoveViability"",""count"":64,""totalMs"":19.3435},{""key"":""policyPreviewInner:chooseOne:loopApply"",""count"":8,""totalMs"":5.2817},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":736,""totalMs"":4.9985},{""key"":""policyPreviewInner:chooseOne:resolveRefs"",""count"":8,""totalMs"":3.4273},{""key"":""policyPreviewInner:chooseOne:loopPickInnerDecision"",""count"":8,""totalMs"":2.3791},{""key"":""policyPreviewInner:chooseOne:canonicalizeForExit"",""count"":8,""totalMs"":2.2242},{""key"":""publish:isSupportedFrameContinuationMove:resumeSuspendedEffectFrame"",""count"":64,""totalMs"":2.008},{""key"":""policyPreviewInner:chooseOne:initialApply"",""count"":8,""totalMs"":1.2468},{""key"":""evalQuery:countMatchingTokens"",""count"":720,""totalMs"":0.6228},{""key"":""publish:chooseOne:rebuildMoveFromFrame"",""count"":8,""totalMs"":0.0255},{""key"":""publish:isSupportedContinuationResult:isPublishedMoveAdmitted"",""count"":64,""totalMs"":0.0183},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":144,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":39552,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":720,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":72784,""totalMs"":0},{""key"":""policyPreviewInner:chooseOne:finish:ready"",""count"":8,""totalMs"":0},{""key"":""publish:chooseOne:legalActionsResult"",""count"":64,""totalMs"":0},{""key"":""publish:chooseOne:options"",""count"":64,""totalMs"":0},{""key"":""publish:isSupportedFrameContinuationMove:suspendedFrame"",""count"":64,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":736,""totalMs"":0}]",arvn,arvn-evolved,0,16,chooseOne,deep1024,"chooseOne:decision:doc.actions.10.effects.0.forEach.effects.0.chooseOne::$destination[0]:""an-loc:none"""
1005,29,coupArvnRedeployOptionalTroops:chooseOne,12.7389,continuedDeepening,8,0,7,1,0,0,0,0,0,0,0,0,[],0,0,0,0,8,6092,8,0,"[{""key"":""policyPreviewInner:chooseOne:initialApply"",""count"":8,""totalMs"":5.4825},{""key"":""policyPreviewInner:chooseOne:resolveRefs"",""count"":8,""totalMs"":3.4744},{""key"":""policyPreviewInner:chooseOne:canonicalizeForExit"",""count"":8,""totalMs"":2.1521},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":80,""totalMs"":1.4536},{""key"":""evalQuery:countMatchingTokens"",""count"":182,""totalMs"":0.1103},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":16,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":10402,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":182,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":20368,""totalMs"":0},{""key"":""policyPreviewInner:chooseOne:finish:ready"",""count"":8,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":80,""totalMs"":0}]",arvn,arvn-evolved,0,16,chooseOne,deep1024,"chooseOne:decision:doc.actions.10.effects.0.forEach.effects.0.chooseOne::$destination[1]:""an-loc:none"""
