seed,decisionIndex,microturnClass,elapsedMs,previewBranch,candidateCount,encodedStateBuildCount,encodedStateCacheObjectHitCount,encodedStateCacheHashHitCount,encodedStateCacheMissCount,bytecodeCacheCompileCount,wasmScoreRowRouteCount,wasmScoreRowUnsupportedCount,wasmPreviewCandidateFeatureRowRouteCount,wasmPreviewCandidateFeatureRowUnsupportedCount,wasmProductionPreviewDriveRouteCount,wasmProductionPreviewDriveUnsupportedCount,wasmProductionPreviewDriveUnsupportedReasons,wasmProductionPreviewDriveBatchCount,tokenStateIndexBuildCount,persistentTokenStateIndexCacheHitCount,persistentTokenStateIndexCacheMissCount,persistentTokenStateIndexCacheWriteCount,zobristKeyCacheHitCount,zobristKeyCacheMissCount,staticRebuildCount,hotPathBuckets,seatId,profileId,turnCount,turnId,decisionKind,previewCapClass,selectedStableMoveKey
1005,0,event,62.393,singlePass,17,1,0,0,1,10,1,0,0,1,0,1,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.cardEventAction"",""reason"":""production preview-drive does not route card event action candidates"",""count"":1}]",0,0,0,0,7,2629,10,3,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":14,""totalMs"":2.5439},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":53,""totalMs"":1.5883},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":14,""totalMs"":1.4592},{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":10,""totalMs"":0.779},{""key"":""evalQuery:countMatchingTokens"",""count"":487,""totalMs"":0.2936},{""key"":""evalQuery:applyTokenFilter"",""count"":38,""totalMs"":0.2828},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":40,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":38,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":12416,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":487,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":25812,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":10,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":9,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":76,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesAffectedTokens"",""count"":1895,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesCall"",""count"":53,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesMutatedZones"",""count"":104,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesPriorSingle"",""count"":1895,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesResultSingle"",""count"":1895,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesScannedTokens"",""count"":98249,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesScanSkippedDuplicateZone"",""count"":1895,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesScanZone"",""count"":3788,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":302591,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":14,""totalMs"":0}]",us,us-baseline,0,0,actionSelection,standard256,"event|{""eventCardId"":""card-48"",""eventDeckId"":""fitl-events-initial-card-pack"",""side"":""shaded""}|false|event"
1005,1,chooseOne:chooseOne,0.569,none,1,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:eventTarget:0:$targetProvince::$targetProvince:""pleiku-darlac:none"""
1005,2,event-decision:chooseOne,0.1006,none,1,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:doc.eventDecks.0.cards.47.shaded.targets.0.effects.0.chooseOne::$coinBaseToRemove:""tok_us-bases_46"""
1005,3,govern,7.16,none,10,1,0,0,1,0,0,0,0,0,0,0,[],1,0,0,0,0,0,0,1,"[{""key"":""evalQuery:countMatchingTokens"",""count"":10,""totalMs"":0.0098},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1419,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":10,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":2668,""totalMs"":0}]",arvn,arvn-evolved,0,1,actionSelection,standard256,govern|{}|false|operationPlusSpecialActivity
1005,4,govern:chooseNStep:add,279.0248,continuedDeepening,8,0,47,81,0,0,0,0,0,0,0,8,"[{""unsupportedDriveClass"":""agent-guided-completion"",""unsupportedOwner"":""production-deep-choosenstep-continuation.pickInnerDecision"",""reason"":""deep preview-drive selected a non-chooseNStep continuation decision"",""count"":8}]",0,0,0,0,0,119815,86,0,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":176,""totalMs"":8.5817},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":216,""totalMs"":8.393},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":790,""totalMs"":4.8938},{""key"":""evalQuery:countMatchingTokens"",""count"":798,""totalMs"":1.013},{""key"":""evalQuery:applyTokenFilter"",""count"":475,""totalMs"":0.7264},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":199,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":475,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":43834,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":798,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":92970,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":1120,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesAffectedTokens"",""count"":6472,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesCall"",""count"":790,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesMutatedZones"",""count"":1294,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesPriorSingle"",""count"":6472,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesResultSingle"",""count"":6472,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesScannedTokens"",""count"":98212,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesScanSkippedDuplicateZone"",""count"":6456,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesScanZone"",""count"":12674,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":991833,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheHit"",""count"":40,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":176,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":584,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseNStep,deep1024,"chooseNStep:decision:doc.actionPipelines.20.stages[0].effects.0.if.else.0.if.else.0.chooseN::$targetSpaces:add:""an-loc:none"""
1005,5,govern:chooseNStep:confirm,203.8319,continuedDeepening,9,0,34,15,0,0,0,0,0,0,0,7,"[{""unsupportedDriveClass"":""unknown"",""unsupportedOwner"":""production-deep-choosenstep-continuation.projectedState"",""reason"":""deep preview-drive reached a terminal boundary before materializing a WASM projected state"",""count"":7}]",0,0,0,0,0,53052,0,0,"[{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":2037,""totalMs"":15.5836},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":56,""totalMs"":2.2388},{""key"":""zobrist:digestDecisionStackFrame"",""count"":36,""totalMs"":1.9545},{""key"":""evalQuery:countMatchingTokens"",""count"":1246,""totalMs"":1.3087},{""key"":""evalQuery:applyTokenFilter"",""count"":1218,""totalMs"":1.3042},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":525,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":1218,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":67438,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":1246,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":139662,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":2695,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesAffectedTokens"",""count"":16611,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesCall"",""count"":2037,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesMutatedZones"",""count"":3339,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesPriorSingle"",""count"":16611,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesResultSingle"",""count"":16611,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesScannedTokens"",""count"":250593,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesScanSkippedDuplicateZone"",""count"":16569,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesScanZone"",""count"":32529,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":228294,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheHit"",""count"":20,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":36,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":196,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseNStep,deep1024,chooseNStep:decision:doc.actionPipelines.20.stages[0].effects.0.if.else.0.if.else.0.chooseN::$targetSpaces:confirm:null
1005,6,govern:chooseOne,4.4226,continuedDeepening,2,0,1,1,0,0,0,0,0,0,0,0,[],0,0,0,0,2,1399,3,0,"[{""key"":""evalQuery:countMatchingTokens"",""count"":2,""totalMs"":0.0049},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1954,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":2,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":3692,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseOne,deep1024,"chooseOne:decision:doc.actionPipelines.20.stages[1].effects.1.forEach.effects.0.chooseOne::$governMode@an-loc:none[0]:""patronage"""
1005,7,rally,18.4845,singlePass,13,1,0,0,1,4,1,0,0,2,0,2,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.cardEventAction"",""reason"":""production preview-drive does not route card event action candidates"",""count"":2}]",0,0,0,0,5,1102,18,1,"[{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":146,""totalMs"":0.9333},{""key"":""zobrist:digestDecisionStackFrame"",""count"":4,""totalMs"":0.3661},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":4,""totalMs"":0.2355},{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":4,""totalMs"":0.1603},{""key"":""evalQuery:countMatchingTokens"",""count"":119,""totalMs"":0.1142},{""key"":""evalQuery:applyTokenFilter"",""count"":82,""totalMs"":0.0894},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":45,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":82,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":6028,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":119,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":12176,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":4,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":3,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":192,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesAffectedTokens"",""count"":1065,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesCall"",""count"":146,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesMutatedZones"",""count"":232,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesPriorSingle"",""count"":1065,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesResultSingle"",""count"":1065,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesScannedTokens"",""count"":15533,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesScanSkippedDuplicateZone"",""count"":1065,""totalMs"":0},{""key"":""tokenStateIndex:refreshCachedEntriesScanZone"",""count"":2070,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":44946,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":4,""totalMs"":0}]",vc,vc-baseline,0,2,actionSelection,standard256,rally|{}|false|operation
1005,8,rally:chooseNStep:add,0.1053,none,22,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,2,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""central-laos:none"""
1005,9,rally:chooseNStep:confirm,0.0574,none,23,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,2,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:confirm:null
