seed,decisionIndex,microturnClass,elapsedMs,previewBranch,candidateCount,encodedStateBuildCount,encodedStateCacheObjectHitCount,encodedStateCacheHashHitCount,encodedStateCacheMissCount,bytecodeCacheCompileCount,wasmScoreRowRouteCount,wasmScoreRowUnsupportedCount,wasmPreviewCandidateFeatureRowRouteCount,wasmPreviewCandidateFeatureRowUnsupportedCount,wasmProductionPreviewDriveRouteCount,wasmProductionPreviewDriveUnsupportedCount,wasmProductionPreviewDriveUnsupportedReasons,wasmProductionPreviewDriveBatchCount,tokenStateIndexBuildCount,persistentTokenStateIndexCacheHitCount,persistentTokenStateIndexCacheMissCount,persistentTokenStateIndexCacheWriteCount,zobristKeyCacheHitCount,zobristKeyCacheMissCount,staticRebuildCount,hotPathBuckets,seatId,profileId,turnCount,turnId,decisionKind,previewCapClass,selectedStableMoveKey
1005,0,event,58.4924,singlePass,17,1,0,0,1,10,1,0,0,1,0,1,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.cardEventAction"",""reason"":""production preview-drive does not route card event action candidates"",""count"":1}]",0,0,0,0,7,2629,10,3,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":14,""totalMs"":2.6091},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":14,""totalMs"":1.4824},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":47,""totalMs"":1.1738},{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":10,""totalMs"":0.7807},{""key"":""evalQuery:applyTokenFilter"",""count"":28,""totalMs"":0.384},{""key"":""evalQuery:countMatchingTokens"",""count"":487,""totalMs"":0.2841},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":32,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":28,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":9814,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":487,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":20616,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":10,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":9,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":68,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":302591,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":14,""totalMs"":0}]",us,us-baseline,0,0,actionSelection,standard256,"event|{""eventCardId"":""card-48"",""eventDeckId"":""fitl-events-initial-card-pack"",""side"":""shaded""}|false|event"
1005,1,chooseOne:chooseOne,0.5944,none,1,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:eventTarget:0:$targetProvince::$targetProvince:""pleiku-darlac:none"""
1005,2,event-decision:chooseOne,0.0582,none,1,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:doc.eventDecks.0.cards.47.shaded.targets.0.effects.0.chooseOne::$coinBaseToRemove:""tok_us-bases_46"""
1005,3,govern,7.5243,none,10,1,0,0,1,0,0,0,0,0,0,0,[],1,0,0,0,0,0,0,1,"[{""key"":""evalQuery:countMatchingTokens"",""count"":10,""totalMs"":0.0117},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1419,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":10,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":2668,""totalMs"":0}]",arvn,arvn-evolved,0,1,actionSelection,standard256,govern|{}|false|operationPlusSpecialActivity
1005,4,govern:chooseNStep:add,223.3021,continuedDeepening,8,0,47,81,0,0,0,0,0,0,0,8,"[{""unsupportedDriveClass"":""agent-guided-completion"",""unsupportedOwner"":""production-deep-choosenstep-continuation.pickInnerDecision"",""reason"":""deep preview-drive selected a non-chooseNStep continuation decision"",""count"":8}]",0,0,0,0,0,119815,86,0,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":176,""totalMs"":8.4016},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":216,""totalMs"":7.9459},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":790,""totalMs"":4.8337},{""key"":""evalQuery:countMatchingTokens"",""count"":798,""totalMs"":1.0105},{""key"":""evalQuery:applyTokenFilter"",""count"":475,""totalMs"":0.8331},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":199,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":475,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":35034,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":798,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":70934,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":1120,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":991833,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheHit"",""count"":40,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":176,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":584,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseNStep,deep1024,"chooseNStep:decision:doc.actionPipelines.20.stages[0].effects.0.if.else.0.if.else.0.chooseN::$targetSpaces:add:""an-loc:none"""
1005,5,govern:chooseNStep:confirm,201.6219,continuedDeepening,9,0,34,15,0,0,0,0,0,0,0,7,"[{""unsupportedDriveClass"":""unknown"",""unsupportedOwner"":""production-deep-choosenstep-continuation.projectedState"",""reason"":""deep preview-drive reached a terminal boundary before materializing a WASM projected state"",""count"":7}]",0,0,0,0,0,53052,0,0,"[{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":2037,""totalMs"":13.6937},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":56,""totalMs"":2.2009},{""key"":""zobrist:digestDecisionStackFrame"",""count"":36,""totalMs"":1.913},{""key"":""evalQuery:countMatchingTokens"",""count"":1246,""totalMs"":1.2619},{""key"":""evalQuery:applyTokenFilter"",""count"":1218,""totalMs"":1.2164},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":525,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":1218,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":65814,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":1246,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":135566,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":2695,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":228294,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheHit"",""count"":20,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":36,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":196,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseNStep,deep1024,chooseNStep:decision:doc.actionPipelines.20.stages[0].effects.0.if.else.0.if.else.0.chooseN::$targetSpaces:confirm:null
1005,6,govern:chooseOne,3.8657,continuedDeepening,2,0,1,1,0,0,0,0,0,0,0,0,[],0,0,0,0,2,1399,3,0,"[{""key"":""evalQuery:countMatchingTokens"",""count"":2,""totalMs"":0.0075},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1954,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":2,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":3692,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseOne,deep1024,"chooseOne:decision:doc.actionPipelines.20.stages[1].effects.1.forEach.effects.0.chooseOne::$governMode@an-loc:none[0]:""patronage"""
1005,7,rally,17.418,singlePass,13,1,0,0,1,4,1,0,0,2,0,2,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.cardEventAction"",""reason"":""production preview-drive does not route card event action candidates"",""count"":2}]",0,0,0,0,5,1102,18,1,"[{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":136,""totalMs"":0.7775},{""key"":""zobrist:digestDecisionStackFrame"",""count"":4,""totalMs"":0.3661},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":4,""totalMs"":0.2433},{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":4,""totalMs"":0.1495},{""key"":""evalQuery:countMatchingTokens"",""count"":111,""totalMs"":0.112},{""key"":""evalQuery:applyTokenFilter"",""count"":80,""totalMs"":0.0844},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":37,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":80,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":5508,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":111,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":11096,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":4,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":3,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":180,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":44946,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":4,""totalMs"":0}]",vc,vc-baseline,0,2,actionSelection,standard256,rally|{}|false|operation
1005,8,rally:chooseNStep:add,0.0948,none,22,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,2,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""central-laos:none"""
1005,9,rally:chooseNStep:confirm,0.0572,none,23,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,2,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:confirm:null
