seed,decisionIndex,microturnClass,elapsedMs,previewBranch,candidateCount,encodedStateBuildCount,encodedStateCacheObjectHitCount,encodedStateCacheHashHitCount,encodedStateCacheMissCount,bytecodeCacheCompileCount,wasmScoreRowRouteCount,wasmScoreRowUnsupportedCount,wasmPreviewCandidateFeatureRowRouteCount,wasmPreviewCandidateFeatureRowUnsupportedCount,wasmProductionPreviewDriveBatchCount,tokenStateIndexBuildCount,persistentTokenStateIndexCacheHitCount,persistentTokenStateIndexCacheMissCount,persistentTokenStateIndexCacheWriteCount,zobristKeyCacheHitCount,zobristKeyCacheMissCount,staticRebuildCount,hotPathBuckets,seatId,profileId,turnCount,turnId,decisionKind,previewCapClass,selectedStableMoveKey
1005,0,event,61.8074,singlePass,17,1,0,0,1,10,1,0,0,1,0,0,0,0,7,2629,10,3,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":14,""totalMs"":2.5517},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":53,""totalMs"":1.444},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":14,""totalMs"":1.4193},{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":10,""totalMs"":1.0378},{""key"":""evalQuery:applyTokenFilter"",""count"":38,""totalMs"":0.2388},{""key"":""evalQuery:countMatchingTokens"",""count"":100,""totalMs"":0.0781},{""key"":""evalQuery:countMatchingTokensScalarIndex"",""count"":2,""totalMs"":0.006},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":40,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":38,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":12416,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":100,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":25812,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexBuild"",""count"":2,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexBuildItems"",""count"":31,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexCount"",""count"":387,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexHit"",""count"":385,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":10,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":9,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":76,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":302591,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":14,""totalMs"":0}]",us,us-baseline,0,0,actionSelection,standard256,"event|{""eventCardId"":""card-48"",""eventDeckId"":""fitl-events-initial-card-pack"",""side"":""shaded""}|false|event"
1005,1,chooseOne:chooseOne,0.5567,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:eventTarget:0:$targetProvince::$targetProvince:""pleiku-darlac:none"""
1005,2,event-decision:chooseOne,0.0521,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:doc.eventDecks.0.cards.47.shaded.targets.0.effects.0.chooseOne::$coinBaseToRemove:""tok_us-bases_46"""
1005,3,train,38.42,singlePass,10,1,0,0,1,10,1,0,2,0,18,0,0,0,0,0,0,1,"[{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":10,""totalMs"":0.3023},{""key"":""evalQuery:applyTokenFilter"",""count"":18,""totalMs"":0.0674},{""key"":""evalQuery:countMatchingTokensScalarIndex"",""count"":14,""totalMs"":0.0241},{""key"":""evalQuery:countMatchingTokens"",""count"":22,""totalMs"":0.0177},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":108,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":18,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":20142,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":22,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":36458,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexBuild"",""count"":14,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexBuildItems"",""count"":138,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexCount"",""count"":147,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexHit"",""count"":133,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":10,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":9,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0}]",arvn,arvn-evolved,0,1,actionSelection,standard256,train|{}|false|operation
1005,4,train:chooseNStep:add,2689.5487,continuedDeepening,26,0,906,2081,0,0,0,0,0,0,0,0,0,0,0,1465222,226,0,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":4420,""totalMs"":742.7331},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":4420,""totalMs"":402.7739},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":5633,""totalMs"":59.4103},{""key"":""evalQuery:applyTokenFilter"",""count"":2660,""totalMs"":4.7538},{""key"":""evalQuery:countMatchingTokens"",""count"":2053,""totalMs"":4.3066},{""key"":""evalQuery:countMatchingTokensScalarIndex"",""count"":1070,""totalMs"":0.801},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":3274,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":2660,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":288957,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":2053,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":631585,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexBuild"",""count"":1070,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexBuildItems"",""count"":3825,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexCount"",""count"":1607,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexHit"",""count"":537,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":8583,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":94043020,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":4420,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":9516,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseNStep,deep1024,"chooseNStep:decision:doc.actionPipelines.1.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""binh-dinh:none"""
1005,5,train:chooseNStep:add,2559.441,continuedDeepening,27,0,924,1976,0,0,0,0,0,0,0,0,0,0,0,1448847,1,0,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":4156,""totalMs"":709.593},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":4250,""totalMs"":398.991},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":6103,""totalMs"":68.2417},{""key"":""evalQuery:applyTokenFilter"",""count"":2574,""totalMs"":4.4702},{""key"":""evalQuery:countMatchingTokens"",""count"":2080,""totalMs"":3.6129},{""key"":""evalQuery:countMatchingTokensScalarIndex"",""count"":1151,""totalMs"":0.42},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":4277,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":2574,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":347460,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":2080,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":750735,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexBuild"",""count"":1151,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexBuildItems"",""count"":5232,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexCount"",""count"":1501,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexHit"",""count"":350,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":9179,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":90725936,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheHit"",""count"":94,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":4156,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":9200,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseNStep,deep1024,"chooseNStep:decision:doc.actionPipelines.1.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""an-loc:none"""
1005,6,train:chooseNStep:confirm,2412.6803,continuedDeepening,27,0,815,1849,0,0,0,0,0,0,0,0,0,0,0,1385279,0,0,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":4080,""totalMs"":712.2035},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":4080,""totalMs"":396.7655},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":4041,""totalMs"":67.0686},{""key"":""evalQuery:applyTokenFilter"",""count"":1557,""totalMs"":3.4156},{""key"":""evalQuery:countMatchingTokens"",""count"":1758,""totalMs"":3.0046},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":4797,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":1557,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":326322,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":1758,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":693561,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":5937,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":91278766,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":4080,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":8736,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseNStep,deep1024,chooseNStep:decision:doc.actionPipelines.1.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:confirm:null
1005,7,train:chooseOne,30.0098,continuedDeepening,2,0,6,6,0,0,0,0,0,0,0,0,0,0,7,11557,0,0,"[{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":311,""totalMs"":2.0547},{""key"":""zobrist:digestDecisionStackFrame"",""count"":12,""totalMs"":1.9681},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":12,""totalMs"":1.0539},{""key"":""evalQuery:applyTokenFilter"",""count"":126,""totalMs"":0.1214},{""key"":""evalQuery:countMatchingTokens"",""count"":59,""totalMs"":0.0882},{""key"":""evalQuery:countMatchingTokensScalarIndex"",""count"":88,""totalMs"":0.0302},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":86,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":126,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":9086,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":59,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":20211,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexBuild"",""count"":88,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexBuildItems"",""count"":363,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexCount"",""count"":117,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexHit"",""count"":29,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":385,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":250619,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":12,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":50,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseOne,deep1024,"chooseOne:decision:doc.actionPipelines.1.stages[1].effects.0.forEach.effects.0.chooseOne::$trainChoice[0]:""rangers"""
1005,8,train:chooseOne,22.8341,continuedDeepening,2,0,4,4,0,0,0,0,0,0,0,0,0,0,5,8388,12,0,"[{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":315,""totalMs"":1.9587},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":8,""totalMs"":0.6291},{""key"":""zobrist:digestDecisionStackFrame"",""count"":2,""totalMs"":0.1738},{""key"":""evalQuery:applyTokenFilter"",""count"":115,""totalMs"":0.1608},{""key"":""evalQuery:countMatchingTokens"",""count"":62,""totalMs"":0.1027},{""key"":""evalQuery:countMatchingTokensScalarIndex"",""count"":94,""totalMs"":0.0339},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":70,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":115,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":8428,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":62,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":18960,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexBuild"",""count"":94,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexBuildItems"",""count"":435,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexCount"",""count"":130,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexHit"",""count"":36,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":400,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":21637,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheHit"",""count"":6,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":2,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":34,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseOne,deep1024,"chooseOne:decision:doc.actionPipelines.1.stages[1].effects.0.forEach.effects.0.chooseOne::$trainChoice[1]:""rangers"""
1005,9,train:chooseNStep:confirm,38.2803,continuedDeepening,3,0,7,5,0,0,0,0,0,0,0,0,0,0,0,14211,9,0,"[{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":436,""totalMs"":2.9191},{""key"":""zobrist:digestDecisionStackFrame"",""count"":16,""totalMs"":2.7772},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":16,""totalMs"":1.4724},{""key"":""evalQuery:applyTokenFilter"",""count"":219,""totalMs"":0.3491},{""key"":""evalQuery:countMatchingTokens"",""count"":124,""totalMs"":0.1714},{""key"":""evalQuery:countMatchingTokensScalarIndex"",""count"":98,""totalMs"":0.0304},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":173,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":219,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":13778,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":124,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":30338,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexBuild"",""count"":98,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexBuildItems"",""count"":382,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexCount"",""count"":158,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensScalarIndexHit"",""count"":60,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":518,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":358484,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":16,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":60,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseNStep,deep1024,chooseNStep:decision:doc.actionPipelines.1.stages[1].effects.0.forEach.effects.1.if.then.1.forEach.in.0.let.in.0.if.then.0.chooseN::$__macro_place_from_available_or_map_actionPipelines_1__stages_1__effects_0__forEach_effects_1__if_then_1__sourceSpaces[1]:confirm:null
