seed,decisionIndex,microturnClass,elapsedMs,previewBranch,candidateCount,encodedStateBuildCount,encodedStateCacheObjectHitCount,encodedStateCacheHashHitCount,encodedStateCacheMissCount,bytecodeCacheCompileCount,wasmScoreRowRouteCount,wasmScoreRowUnsupportedCount,wasmPreviewCandidateFeatureRowRouteCount,wasmPreviewCandidateFeatureRowUnsupportedCount,wasmProductionPreviewDriveBatchCount,tokenStateIndexBuildCount,persistentTokenStateIndexCacheHitCount,persistentTokenStateIndexCacheMissCount,persistentTokenStateIndexCacheWriteCount,zobristKeyCacheHitCount,zobristKeyCacheMissCount,staticRebuildCount,hotPathBuckets,seatId,profileId,turnCount,turnId,decisionKind,previewCapClass,selectedStableMoveKey
1005,0,event,62.5259,singlePass,17,1,0,0,1,10,1,0,0,1,0,0,0,0,7,2629,10,3,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":14,""totalMs"":2.4899},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":14,""totalMs"":1.4729},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":53,""totalMs"":1.2302},{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":10,""totalMs"":0.7863},{""key"":""evalQuery:applyTokenFilter"",""count"":38,""totalMs"":0.2759},{""key"":""evalQuery:countMatchingTokens"",""count"":487,""totalMs"":0.2583},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":40,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":38,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":12416,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":487,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":25812,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":10,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":9,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":76,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":302591,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":14,""totalMs"":0}]",us,us-baseline,0,0,actionSelection,standard256,"event|{""eventCardId"":""card-48"",""eventDeckId"":""fitl-events-initial-card-pack"",""side"":""shaded""}|false|event"
1005,1,chooseOne:chooseOne,0.5537,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:eventTarget:0:$targetProvince::$targetProvince:""pleiku-darlac:none"""
1005,2,event-decision:chooseOne,0.0753,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:doc.eventDecks.0.cards.47.shaded.targets.0.effects.0.chooseOne::$coinBaseToRemove:""tok_us-bases_46"""
1005,3,train,39.088,singlePass,10,1,0,0,1,10,1,0,2,0,18,0,0,0,0,0,0,1,"[{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":10,""totalMs"":0.3227},{""key"":""evalQuery:countMatchingTokens"",""count"":169,""totalMs"":0.1133},{""key"":""evalQuery:applyTokenFilter"",""count"":18,""totalMs"":0.0746},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":108,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":18,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":20142,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":169,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":36458,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":10,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":9,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0}]",arvn,arvn-evolved,0,1,actionSelection,standard256,train|{}|false|operation
1005,4,train:chooseNStep:add,2752.4829,continuedDeepening,26,0,906,2081,0,0,0,0,0,0,0,0,0,0,0,1465222,226,0,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":4420,""totalMs"":750.87},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":4420,""totalMs"":436.0481},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":5633,""totalMs"":64.86},{""key"":""evalQuery:applyTokenFilter"",""count"":2660,""totalMs"":4.683},{""key"":""evalQuery:countMatchingTokens"",""count"":3660,""totalMs"":4.6428},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":3274,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":2660,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":288957,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":3660,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":631585,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":8583,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":94043020,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":4420,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":9516,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseNStep,deep1024,"chooseNStep:decision:doc.actionPipelines.1.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""binh-dinh:none"""
1005,5,train:chooseNStep:add,2704.2957,continuedDeepening,27,0,924,1976,0,0,0,0,0,0,0,0,0,0,0,1448847,1,0,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":4156,""totalMs"":732.3951},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":4250,""totalMs"":415.7373},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":6103,""totalMs"":68.1694},{""key"":""evalQuery:applyTokenFilter"",""count"":2574,""totalMs"":6.2675},{""key"":""evalQuery:countMatchingTokens"",""count"":3581,""totalMs"":5.4217},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":4277,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":2574,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":347460,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":3581,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":750735,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":9179,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":90725936,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheHit"",""count"":94,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":4156,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":9200,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseNStep,deep1024,"chooseNStep:decision:doc.actionPipelines.1.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""an-loc:none"""
1005,6,train:chooseNStep:confirm,2540.2431,continuedDeepening,27,0,815,1849,0,0,0,0,0,0,0,0,0,0,0,1385279,0,0,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":4080,""totalMs"":733.7841},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":4080,""totalMs"":430.9655},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":4041,""totalMs"":56.3139},{""key"":""evalQuery:applyTokenFilter"",""count"":1557,""totalMs"":3.8462},{""key"":""evalQuery:countMatchingTokens"",""count"":1758,""totalMs"":3.1281},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":4797,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":1557,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":326322,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":1758,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":693561,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":5937,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":91278766,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":4080,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":8736,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseNStep,deep1024,chooseNStep:decision:doc.actionPipelines.1.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:confirm:null
1005,7,train:chooseOne,29.6821,continuedDeepening,2,0,6,6,0,0,0,0,0,0,0,0,0,0,7,11557,0,0,"[{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":311,""totalMs"":3.0445},{""key"":""zobrist:digestDecisionStackFrame"",""count"":12,""totalMs"":1.9873},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":12,""totalMs"":1.067},{""key"":""evalQuery:countMatchingTokens"",""count"":176,""totalMs"":0.1759},{""key"":""evalQuery:applyTokenFilter"",""count"":126,""totalMs"":0.1284},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":86,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":126,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":9086,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":176,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":20211,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":385,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":250619,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":12,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":50,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseOne,deep1024,"chooseOne:decision:doc.actionPipelines.1.stages[1].effects.0.forEach.effects.0.chooseOne::$trainChoice[0]:""rangers"""
1005,8,train:chooseOne,25.4794,continuedDeepening,2,0,4,4,0,0,0,0,0,0,0,0,0,0,5,8388,12,0,"[{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":315,""totalMs"":1.7091},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":8,""totalMs"":0.6273},{""key"":""evalQuery:countMatchingTokens"",""count"":192,""totalMs"":0.2385},{""key"":""evalQuery:applyTokenFilter"",""count"":115,""totalMs"":0.1886},{""key"":""zobrist:digestDecisionStackFrame"",""count"":2,""totalMs"":0.1727},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":70,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":115,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":8428,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":192,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":18960,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":400,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":21637,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheHit"",""count"":6,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":2,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":34,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseOne,deep1024,"chooseOne:decision:doc.actionPipelines.1.stages[1].effects.0.forEach.effects.0.chooseOne::$trainChoice[1]:""rangers"""
1005,9,train:chooseNStep:confirm,37.9563,continuedDeepening,3,0,7,5,0,0,0,0,0,0,0,0,0,0,0,14211,9,0,"[{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":436,""totalMs"":3.7789},{""key"":""zobrist:digestDecisionStackFrame"",""count"":16,""totalMs"":2.8337},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":16,""totalMs"":1.542},{""key"":""evalQuery:applyTokenFilter"",""count"":219,""totalMs"":0.3564},{""key"":""evalQuery:countMatchingTokens"",""count"":282,""totalMs"":0.2772},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":173,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":219,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":13778,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":282,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":30338,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":518,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":358484,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":16,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":60,""totalMs"":0}]",arvn,arvn-evolved,0,1,chooseNStep,deep1024,chooseNStep:decision:doc.actionPipelines.1.stages[1].effects.0.forEach.effects.1.if.then.1.forEach.in.0.let.in.0.if.then.0.chooseN::$__macro_place_from_available_or_map_actionPipelines_1__stages_1__effects_0__forEach_effects_1__if_then_1__sourceSpaces[1]:confirm:null
