seed,decisionIndex,microturnClass,elapsedMs,previewBranch,candidateCount,encodedStateBuildCount,encodedStateCacheObjectHitCount,encodedStateCacheHashHitCount,encodedStateCacheMissCount,bytecodeCacheCompileCount,cacheHits,cacheMisses,cacheCompileTimeMs,wasmScoreRowRouteCount,wasmScoreRowUnsupportedCount,wasmPreviewCandidateFeatureRowRouteCount,wasmPreviewCandidateFeatureRowUnsupportedCount,wasmProductionPreviewDriveRouteCount,wasmProductionPreviewDriveUnsupportedCount,wasmProductionPreviewDriveUnsupportedReasons,wasmProductionPreviewDriveBatchCount,marshalingMs,executionMs,deserializationMs,wasmCallCount,wasmTimingBuckets,bytesSerialized,serializationCallCount,wasmSerializationStats,cacheWriteMs,cacheWriteBytes,cacheWriteCount,tokenStateIndexBuildCount,persistentTokenStateIndexCacheHitCount,persistentTokenStateIndexCacheMissCount,persistentTokenStateIndexCacheWriteCount,zobristKeyCacheHitCount,zobristKeyCacheMissCount,staticRebuildCount,hotPathBuckets,hotPathBucketFamilies,sameRunNoCounterAttribution,continuedDeepeningResidualSplit,terminalBoundaryProjectionSplit,seatId,profileId,turnCount,turnId,decisionKind,previewCapClass,selectedStableMoveKey,scoreRowsBatchSizeMean,scoreRowsBatchSizeMin,scoreRowsBatchSizeMax,scoreRowsBatchSizeHistogram,previewCandidateFeatureRowsBatchSizeMean,previewCandidateFeatureRowsBatchSizeMin,previewCandidateFeatureRowsBatchSizeMax,previewCandidateFeatureRowsBatchSizeHistogram,productionPreviewDriveBatchSizeMean,productionPreviewDriveBatchSizeMin,productionPreviewDriveBatchSizeMax,productionPreviewDriveBatchSizeHistogram
1005,0,event,56.8181,singlePass,17,1,0,0,1,10,,,,1,0,0,1,0,1,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.cardEventAction"",""reason"":""production preview-drive does not route card event action candidates"",""count"":1}]",0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,7,2629,10,3,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":14,""totalMs"":2.5807},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":47,""totalMs"":2.1533},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":14,""totalMs"":1.5344},{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":10,""totalMs"":0.785},{""key"":""evalQuery:countMatchingTokens"",""count"":487,""totalMs"":0.2562},{""key"":""evalQuery:applyTokenFilter"",""count"":28,""totalMs"":0.2006},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":32,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":28,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":9814,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":487,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":20616,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":10,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":9,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":68,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":302591,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":14,""totalMs"":0}]",zobrist:302633/4.1151ms; tokenStateIndex:115/2.1533ms; policyWasmRuntime:30/0.785ms; evalQuery:31492/0.4568ms,,,,us,us-baseline,0,0,actionSelection,standard256,"event|{""eventCardId"":""card-48"",""eventDeckId"":""fitl-events-initial-card-pack"",""side"":""shaded""}|false|event",,,,,,,,,,,,
1005,1,chooseOne:chooseOne,0.5546,none,1,0,0,0,0,0,,,,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],,no-route-or-unsupported-counter; no-same-run-hot-path-buckets,,,us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:eventTarget:0:$targetProvince::$targetProvince:""pleiku-darlac:none""",,,,,,,,,,,,
1005,2,event-decision:chooseOne,0.0425,none,1,0,0,0,0,0,,,,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],,no-route-or-unsupported-counter; no-same-run-hot-path-buckets,,,us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:doc.eventDecks.0.cards.47.shaded.targets.0.effects.0.chooseOne::$coinBaseToRemove:""tok_us-bases_46""",,,,,,,,,,,,
1005,3,govern,79.3067,singlePass,10,1,0,0,1,8,,,,1,0,0,4,2,2,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.actionBatch"",""reason"":""production preview-drive requires deterministic shared scalar runtime bindings"",""count"":2}]",4,0,0,0,0,[],0,0,[],0,0,0,0,0,0,14,7949,103,1,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":30,""totalMs"":3.864},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":30,""totalMs"":2.5682},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":59,""totalMs"":1.5889},{""key"":""evalQuery:applyTokenFilter"",""count"":61,""totalMs"":0.3725},{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":8,""totalMs"":0.3275},{""key"":""evalQuery:countMatchingTokens"",""count"":95,""totalMs"":0.1766},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":356,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":61,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":20621,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":95,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":34663,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":8,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":7,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":93,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":460719,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":30,""totalMs"":0}]",zobrist:460809/6.4322ms; tokenStateIndex:152/1.5889ms; evalQuery:55952/0.5491ms; policyWasmRuntime:24/0.3275ms,,,,arvn,arvn-evolved,0,1,actionSelection,standard256,govern|{}|false|operationPlusSpecialActivity,,,,,,,,,,,,
1005,4,govern:chooseNStep:add,204.7672,continuedDeepening,8,0,39,73,0,0,,,,0,0,0,0,8,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,107182,2,0,"[{""key"":""policyInnerPreview:chooseNStepDeepPass"",""count"":1,""totalMs"":141.0952},{""key"":""policyInnerPreview:chooseNStepBroadRun"",""count"":1,""totalMs"":61.7406},{""key"":""zobrist:digestDecisionStackFrame"",""count"":176,""totalMs"":8.4974},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":790,""totalMs"":6.1015},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":176,""totalMs"":6.0746},{""key"":""policyMicroturnSearch:chooseOneScoreOptions"",""count"":16,""totalMs"":1.9515},{""key"":""evalQuery:countMatchingTokens"",""count"":798,""totalMs"":0.9085},{""key"":""evalQuery:applyTokenFilter"",""count"":475,""totalMs"":0.7392},{""key"":""policyInnerPreview:chooseNStepBroadSignals"",""count"":1,""totalMs"":0.4216},{""key"":""policyInnerPreview:chooseNStepFinalSignals"",""count"":1,""totalMs"":0.3103},{""key"":""policyMicroturnSearch:chooseNScoreOptions"",""count"":1,""totalMs"":0.2554},{""key"":""policyInnerPreview:summarizeUsage"",""count"":1,""totalMs"":0.1482},{""key"":""policyMicroturnSearch:chooseNRankOptions"",""count"":1,""totalMs"":0.0174},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":199,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":475,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":35050,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":798,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":70992,""totalMs"":0},{""key"":""policyMicroturnSearch:chooseNSelectableValues"",""count"":8,""totalMs"":0},{""key"":""policyMicroturnSearch:chooseOneSelectableOptions"",""count"":32,""totalMs"":0},{""key"":""policyWasmStatePatch:reuseAppliedStateHash"",""count"":24,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":1096,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":991833,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":176,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":544,""totalMs"":0}]",policyInnerPreview:5/203.7159ms; zobrist:992905/14.572ms; tokenStateIndex:1886/6.1015ms; policyMicroturnSearch:58/2.2243ms; evalQuery:108787/1.6477ms; policyWasmStatePatch:24/0ms,,,,arvn,arvn-evolved,0,1,chooseNStep,deep1024,"chooseNStep:decision:doc.actionPipelines.20.stages[0].effects.0.if.else.0.if.else.0.chooseN::$targetSpaces:add:""an-loc:none""",,,,,,,,,,,,
1005,5,govern:chooseNStep:confirm,189.2129,continuedDeepening,9,0,34,15,0,0,,,,0,0,0,0,0,7,"[{""unsupportedDriveClass"":""unknown"",""unsupportedOwner"":""production-deep-choosenstep-continuation.projectedState"",""reason"":""deep preview-drive reached a terminal boundary before materializing a WASM projected state"",""projectedStateBoundaryKind"":""seat-or-turn-boundary"",""projectedStateClassification"":""expected-terminal-boundary"",""count"":7}]",0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,53052,0,0,"[{""key"":""policyInnerPreview:chooseNStepDeepPass"",""count"":1,""totalMs"":101.275},{""key"":""policyInnerPreview:chooseNStepBroadRun"",""count"":1,""totalMs"":87.1675},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":2037,""totalMs"":11.992},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":56,""totalMs"":2.1411},{""key"":""policyMicroturnSearch:chooseOneScoreOptions"",""count"":14,""totalMs"":2.058},{""key"":""zobrist:digestDecisionStackFrame"",""count"":36,""totalMs"":1.9102},{""key"":""evalQuery:applyTokenFilter"",""count"":1218,""totalMs"":1.2655},{""key"":""evalQuery:countMatchingTokens"",""count"":1246,""totalMs"":1.2577},{""key"":""policyInnerPreview:chooseNStepBroadSignals"",""count"":1,""totalMs"":0.2463},{""key"":""policyInnerPreview:chooseNStepFinalSignals"",""count"":1,""totalMs"":0.1921},{""key"":""policyMicroturnSearch:chooseNScoreOptions"",""count"":1,""totalMs"":0.1331},{""key"":""policyMicroturnSearch:chooseNRankOptions"",""count"":1,""totalMs"":0.0334},{""key"":""policyInnerPreview:summarizeUsage"",""count"":1,""totalMs"":0.0257},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":525,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":1218,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":65814,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":1246,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":135566,""totalMs"":0},{""key"":""policyMicroturnSearch:chooseNSelectableValues"",""count"":7,""totalMs"":0},{""key"":""policyMicroturnSearch:chooseOneSelectableOptions"",""count"":28,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":2695,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":228294,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheHit"",""count"":20,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":36,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":196,""totalMs"":0}]",policyInnerPreview:5/188.9066ms; tokenStateIndex:4732/11.992ms; zobrist:228638/4.0513ms; evalQuery:206833/2.5232ms; policyMicroturnSearch:51/2.2245ms,,,expected-terminal-boundary/seat-or-turn-boundary:7,arvn,arvn-evolved,0,1,chooseNStep,deep1024,chooseNStep:decision:doc.actionPipelines.20.stages[0].effects.0.if.else.0.if.else.0.chooseN::$targetSpaces:confirm:null,,,,,,,,,,,,
1005,6,govern:chooseOne,4.1836,continuedDeepening,2,0,1,1,0,0,,,,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,2,1399,3,0,"[{""key"":""policyInnerPreview:chooseOneRun"",""count"":1,""totalMs"":3.689},{""key"":""policyMicroturnSearch:chooseOneScoreOptions"",""count"":1,""totalMs"":0.1143},{""key"":""policyInnerPreview:summarizeUsage"",""count"":1,""totalMs"":0.0777},{""key"":""evalQuery:countMatchingTokens"",""count"":2,""totalMs"":0.0044},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1954,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":2,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":3692,""totalMs"":0},{""key"":""policyMicroturnSearch:chooseOneSelectableOptions"",""count"":2,""totalMs"":0}]",policyInnerPreview:2/3.7667ms; policyMicroturnSearch:3/0.1143ms; evalQuery:5650/0.0044ms,no-route-or-unsupported-counter; same-run-hot-path-families=policyInnerPreview:2/3.7667ms; policyMicroturnSearch:3/0.1143ms; evalQuery:5650/0.0044ms,continued-deepening-orchestration-inclusive:2/3.7667ms; unattributed-after-top-level-orchestration:/0.4169ms; policy-search-candidate-scoring-nested:3/0.1143ms; existing-hot-path-bucket-nested:5650/0.0044ms,,arvn,arvn-evolved,0,1,chooseOne,deep1024,"chooseOne:decision:doc.actionPipelines.20.stages[1].effects.1.forEach.effects.0.chooseOne::$governMode@an-loc:none[0]:""patronage""",,,,,,,,,,,,
1005,7,rally,16.6931,singlePass,13,1,0,0,1,4,,,,1,0,0,2,0,2,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.cardEventAction"",""reason"":""production preview-drive does not route card event action candidates"",""count"":2}]",0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,5,1102,18,1,"[{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":136,""totalMs"":1.4358},{""key"":""zobrist:digestDecisionStackFrame"",""count"":4,""totalMs"":0.3489},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":4,""totalMs"":0.2481},{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":4,""totalMs"":0.154},{""key"":""evalQuery:countMatchingTokens"",""count"":111,""totalMs"":0.1082},{""key"":""evalQuery:applyTokenFilter"",""count"":80,""totalMs"":0.0843},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":37,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":80,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":5508,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":111,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":11096,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":4,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":3,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":180,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":44946,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":4,""totalMs"":0}]",tokenStateIndex:316/1.4358ms; zobrist:44958/0.597ms; evalQuery:17023/0.1925ms; policyWasmRuntime:12/0.154ms,,,,vc,vc-baseline,0,2,actionSelection,standard256,rally|{}|false|operation,,,,,,,,,,,,
1005,8,rally:chooseNStep:add,0.1107,none,22,0,0,0,0,0,,,,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],,no-route-or-unsupported-counter; no-same-run-hot-path-buckets,,,vc,vc-baseline,0,2,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""central-laos:none""",,,,,,,,,,,,
1005,9,rally:chooseNStep:confirm,0.0912,none,23,0,0,0,0,0,,,,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],,no-route-or-unsupported-counter; no-same-run-hot-path-buckets,,,vc,vc-baseline,0,2,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:confirm:null,,,,,,,,,,,,
