seed,decisionIndex,microturnClass,elapsedMs,previewBranch,candidateCount,encodedStateBuildCount,encodedStateCacheObjectHitCount,encodedStateCacheHashHitCount,encodedStateCacheMissCount,bytecodeCacheCompileCount,wasmScoreRowRouteCount,wasmScoreRowUnsupportedCount,wasmPreviewCandidateFeatureRowRouteCount,wasmPreviewCandidateFeatureRowUnsupportedCount,wasmProductionPreviewDriveRouteCount,wasmProductionPreviewDriveUnsupportedCount,wasmProductionPreviewDriveUnsupportedReasons,wasmProductionPreviewDriveBatchCount,tokenStateIndexBuildCount,persistentTokenStateIndexCacheHitCount,persistentTokenStateIndexCacheMissCount,persistentTokenStateIndexCacheWriteCount,zobristKeyCacheHitCount,zobristKeyCacheMissCount,staticRebuildCount,hotPathBuckets,seatId,profileId,turnCount,turnId,decisionKind,previewCapClass,selectedStableMoveKey
1000,0,event,207.7235,singlePass,11,1,0,0,1,10,1,0,0,1,0,1,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.cardEventAction"",""reason"":""production preview-drive does not route card event action candidates"",""count"":1}]",0,18,0,0,5,1586,15,3,[],us,us-baseline,0,0,actionSelection,standard256,"event|{""eventCardId"":""card-75"",""eventDeckId"":""fitl-events-initial-card-pack"",""side"":""shaded""}|false|event"
1000,1,rally,10.5158,singlePass,1,0,0,1,0,6,1,0,2,0,2,0,[],2,0,0,0,0,0,0,0,[],vc,vc-baseline,0,1,actionSelection,standard256,rally|{}|true|operation
1000,2,rally:chooseNStep:add,0.6077,none,4,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,1,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""the-parrots-beak:none"""
1000,3,rally:chooseNStep:confirm,0.11,none,5,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,1,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:confirm:null
1000,4,rally:chooseOne,0.132,none,1,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,1,chooseOne,standard256,"chooseOne:decision:doc.actionPipelines.9.stages[1].effects.0.forEach.effects.1.let.in.0.if.then.0.if.else.0.chooseOne::$noBaseChoice[0]:""place-guerrilla"""
1000,5,march,6.0091,singlePass,1,1,0,0,1,0,1,0,2,0,2,0,[],2,0,0,0,0,0,0,1,[],vc,vc-baseline,0,2,actionSelection,standard256,march|{}|true|operation
1000,6,march:chooseNStep:add,0.0812,none,6,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,2,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.11.stages[0].effects.0.if.else.0.if.then.0.chooseN::$targetSpaces:add:""kien-phong:none"""
1000,7,march:chooseNStep:confirm,0.0566,none,7,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,2,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.11.stages[0].effects.0.if.else.0.if.then.0.chooseN::$targetSpaces:confirm:null
1000,8,march:chooseNStep:add,0.0987,none,1,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,2,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.11.stages[1].effects.0.forEach.effects.0.if.then.0.chooseN::$movingGuerrillas@kien-phong:none[0]:add:""tok_vc-guerrillas_226"""
1000,9,march:chooseNStep:confirm,0.0565,none,2,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,2,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.11.stages[1].effects.0.forEach.effects.0.if.then.0.chooseN::$movingGuerrillas@kien-phong:none[0]:confirm:null
1000,10,event,58.0501,singlePass,10,1,0,0,1,0,1,0,0,1,0,1,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.cardEventAction"",""reason"":""production preview-drive does not route card event action candidates"",""count"":1}]",0,0,0,0,6,3228,18,1,[],us,us-baseline,0,3,actionSelection,standard256,"event|{""eventCardId"":""card-112"",""eventDeckId"":""fitl-events-initial-card-pack"",""side"":""shaded""}|false|event"
1000,11,chooseNStep:chooseNStep:confirm,0.0449,none,6,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],us,us-baseline,0,3,chooseNStep,standard256,chooseNStep:decision:eventTarget:0:$targetProvince::$targetProvince:confirm:null
1000,12,rally,3.9626,singlePass,1,0,0,1,0,13,1,0,1,0,1,0,[],1,0,0,0,0,0,0,0,[],nva,nva-baseline,0,4,actionSelection,standard256,rally|{}|true|operation
1000,13,rally:chooseNStep:add,0.1692,none,4,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],nva,nva-baseline,0,4,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.8.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""northeast-cambodia:none"""
1000,14,rally:chooseNStep:confirm,0.0666,none,5,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],nva,nva-baseline,0,4,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.8.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:confirm:null
1000,15,rally:chooseOne,0.0351,none,1,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,[],nva,nva-baseline,0,4,chooseOne,standard256,"chooseOne:decision:doc.actionPipelines.8.stages[1].effects.0.forEach.effects.1.let.in.0.if.then.0.if.else.0.chooseOne::$noBaseChoice[0]:""place-guerrilla"""
