seed,decisionIndex,microturnClass,elapsedMs,previewBranch,candidateCount,encodedStateBuildCount,encodedStateCacheObjectHitCount,encodedStateCacheHashHitCount,encodedStateCacheMissCount,bytecodeCacheCompileCount,cacheHits,cacheMisses,cacheCompileTimeMs,wasmScoreRowRouteCount,wasmScoreRowUnsupportedCount,wasmPreviewCandidateFeatureRowRouteCount,wasmPreviewCandidateFeatureRowUnsupportedCount,wasmProductionPreviewDriveRouteCount,wasmProductionPreviewDriveUnsupportedCount,wasmProductionPreviewDriveUnsupportedReasons,wasmProductionPreviewDriveBatchCount,marshalingMs,executionMs,deserializationMs,wasmCallCount,wasmTimingBuckets,bytesSerialized,serializationCallCount,wasmSerializationStats,cacheWriteMs,cacheWriteBytes,cacheWriteCount,tokenStateIndexBuildCount,persistentTokenStateIndexCacheHitCount,persistentTokenStateIndexCacheMissCount,persistentTokenStateIndexCacheWriteCount,zobristKeyCacheHitCount,zobristKeyCacheMissCount,staticRebuildCount,hotPathBuckets,hotPathBucketFamilies,sameRunNoCounterAttribution,continuedDeepeningResidualSplit,terminalBoundaryProjectionSplit,seatId,profileId,turnCount,turnId,decisionKind,previewCapClass,selectedStableMoveKey,scoreRowsBatchSizeMean,scoreRowsBatchSizeMin,scoreRowsBatchSizeMax,scoreRowsBatchSizeHistogram,previewCandidateFeatureRowsBatchSizeMean,previewCandidateFeatureRowsBatchSizeMin,previewCandidateFeatureRowsBatchSizeMax,previewCandidateFeatureRowsBatchSizeHistogram,productionPreviewDriveBatchSizeMean,productionPreviewDriveBatchSizeMin,productionPreviewDriveBatchSizeMax,productionPreviewDriveBatchSizeHistogram
1005,0,event,57.1825,singlePass,17,1,0,0,1,10,,,,1,0,0,1,0,1,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.cardEventAction"",""reason"":""production preview-drive does not route card event action candidates"",""count"":1}]",0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,7,2629,10,3,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":14,""totalMs"":2.5568},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":14,""totalMs"":1.3771},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":47,""totalMs"":1.2017},{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":10,""totalMs"":0.8532},{""key"":""evalQuery:countMatchingTokens"",""count"":487,""totalMs"":0.2901},{""key"":""evalQuery:applyTokenFilter"",""count"":28,""totalMs"":0.1915},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":32,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":28,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":9814,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":487,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":20616,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":10,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":9,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":68,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":302591,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":14,""totalMs"":0}]",zobrist:302633/3.9339ms; tokenStateIndex:115/1.2017ms; policyWasmRuntime:30/0.8532ms; evalQuery:31492/0.4816ms,,,,us,us-baseline,0,0,actionSelection,standard256,"event|{""eventCardId"":""card-48"",""eventDeckId"":""fitl-events-initial-card-pack"",""side"":""shaded""}|false|event",,,,,,,,,,,,
1005,1,chooseOne:chooseOne,0.591,none,1,0,0,0,0,0,,,,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],,no-route-or-unsupported-counter; no-same-run-hot-path-buckets,,,us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:eventTarget:0:$targetProvince::$targetProvince:""pleiku-darlac:none""",,,,,,,,,,,,
1005,2,event-decision:chooseOne,0.0445,none,1,0,0,0,0,0,,,,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],,no-route-or-unsupported-counter; no-same-run-hot-path-buckets,,,us,us-baseline,0,0,chooseOne,standard256,"chooseOne:decision:doc.eventDecks.0.cards.47.shaded.targets.0.effects.0.chooseOne::$coinBaseToRemove:""tok_us-bases_46""",,,,,,,,,,,,
1005,3,govern,80.4063,singlePass,10,1,0,0,1,8,,,,1,0,0,4,2,2,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.actionBatch"",""reason"":""production preview-drive requires deterministic shared scalar runtime bindings"",""count"":2}]",4,0,0,0,0,[],0,0,[],0,0,0,0,0,0,14,7949,103,1,"[{""key"":""zobrist:digestDecisionStackFrame"",""count"":30,""totalMs"":4.1189},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":30,""totalMs"":2.383},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":59,""totalMs"":1.7074},{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":8,""totalMs"":0.2873},{""key"":""evalQuery:applyTokenFilter"",""count"":61,""totalMs"":0.2634},{""key"":""evalQuery:countMatchingTokens"",""count"":95,""totalMs"":0.1606},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":356,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":61,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":20621,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":95,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":34663,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":8,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":7,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":93,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":460719,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":30,""totalMs"":0}]",zobrist:460809/6.5019ms; tokenStateIndex:152/1.7074ms; evalQuery:55952/0.424ms; policyWasmRuntime:24/0.2873ms,,,,arvn,arvn-evolved,0,1,actionSelection,standard256,govern|{}|false|operationPlusSpecialActivity,,,,,,,,,,,,
1005,4,govern:chooseNStep:add,203.1899,continuedDeepening,8,0,39,73,0,0,,,,0,0,0,0,8,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,107182,2,0,"[{""key"":""policyInnerPreview:chooseNStepDeepPass"",""count"":1,""totalMs"":138.7975},{""key"":""policyInnerPreview:chooseNStepBroadRun"",""count"":1,""totalMs"":62.4361},{""key"":""zobrist:digestDecisionStackFrame"",""count"":176,""totalMs"":8.3628},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":176,""totalMs"":6.0272},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":790,""totalMs"":5.2961},{""key"":""policyMicroturnSearch:chooseOneScoreOptions"",""count"":16,""totalMs"":1.7642},{""key"":""evalQuery:countMatchingTokens"",""count"":798,""totalMs"":0.9169},{""key"":""evalQuery:applyTokenFilter"",""count"":475,""totalMs"":0.7915},{""key"":""policyInnerPreview:chooseNStepBroadSignals"",""count"":1,""totalMs"":0.4639},{""key"":""policyInnerPreview:chooseNStepFinalSignals"",""count"":1,""totalMs"":0.3173},{""key"":""policyMicroturnSearch:chooseNScoreOptions"",""count"":1,""totalMs"":0.2224},{""key"":""policyInnerPreview:summarizeUsage"",""count"":1,""totalMs"":0.1944},{""key"":""policyMicroturnSearch:chooseNRankOptions"",""count"":1,""totalMs"":0.0188},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":199,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":475,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":35050,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":798,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":70992,""totalMs"":0},{""key"":""policyMicroturnSearch:chooseNSelectableValues"",""count"":8,""totalMs"":0},{""key"":""policyMicroturnSearch:chooseOneSelectableOptions"",""count"":32,""totalMs"":0},{""key"":""policyWasmStatePatch:reuseAppliedStateHash"",""count"":24,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":1096,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":991833,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":176,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":544,""totalMs"":0}]",policyInnerPreview:5/202.2092ms; zobrist:992905/14.39ms; tokenStateIndex:1886/5.2961ms; policyMicroturnSearch:58/2.0054ms; evalQuery:108787/1.7084ms; policyWasmStatePatch:24/0ms,,,,arvn,arvn-evolved,0,1,chooseNStep,deep1024,"chooseNStep:decision:doc.actionPipelines.20.stages[0].effects.0.if.else.0.if.else.0.chooseN::$targetSpaces:add:""an-loc:none""",,,,,,,,,,,,
1005,5,govern:chooseNStep:confirm,195.0282,continuedDeepening,9,0,34,15,0,0,,,,0,0,0,0,0,7,"[{""unsupportedDriveClass"":""unknown"",""unsupportedOwner"":""production-deep-choosenstep-continuation.projectedState"",""reason"":""deep preview-drive reached a terminal boundary before materializing a WASM projected state"",""projectedStateBoundaryKind"":""seat-or-turn-boundary"",""projectedStateClassification"":""expected-terminal-boundary"",""count"":7}]",0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,53052,0,0,"[{""key"":""policyInnerPreview:chooseNStepDeepPass"",""count"":1,""totalMs"":104.2012},{""key"":""policyInnerPreview:chooseNStepBroadRun"",""count"":1,""totalMs"":90.037},{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":2037,""totalMs"":13.7262},{""key"":""policyMicroturnSearch:chooseOneScoreOptions"",""count"":14,""totalMs"":2.1224},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":56,""totalMs"":2.0837},{""key"":""zobrist:digestDecisionStackFrame"",""count"":36,""totalMs"":1.8875},{""key"":""evalQuery:applyTokenFilter"",""count"":1218,""totalMs"":1.3359},{""key"":""evalQuery:countMatchingTokens"",""count"":1246,""totalMs"":1.2614},{""key"":""policyInnerPreview:chooseNStepBroadSignals"",""count"":1,""totalMs"":0.2334},{""key"":""policyInnerPreview:chooseNStepFinalSignals"",""count"":1,""totalMs"":0.2101},{""key"":""policyMicroturnSearch:chooseNScoreOptions"",""count"":1,""totalMs"":0.1314},{""key"":""policyMicroturnSearch:chooseNRankOptions"",""count"":1,""totalMs"":0.039},{""key"":""policyInnerPreview:summarizeUsage"",""count"":1,""totalMs"":0.0267},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":525,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":1218,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":65814,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":1246,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":135566,""totalMs"":0},{""key"":""policyMicroturnSearch:chooseNSelectableValues"",""count"":7,""totalMs"":0},{""key"":""policyMicroturnSearch:chooseOneSelectableOptions"",""count"":28,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":2695,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":228294,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheHit"",""count"":20,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":36,""totalMs"":0},{""key"":""zobrist:decisionStackFrameWeakCacheHit"",""count"":196,""totalMs"":0}]",policyInnerPreview:5/194.7084ms; tokenStateIndex:4732/13.7262ms; zobrist:228638/3.9712ms; evalQuery:206833/2.5973ms; policyMicroturnSearch:51/2.2928ms,,,expected-terminal-boundary/seat-or-turn-boundary:7,arvn,arvn-evolved,0,1,chooseNStep,deep1024,chooseNStep:decision:doc.actionPipelines.20.stages[0].effects.0.if.else.0.if.else.0.chooseN::$targetSpaces:confirm:null,,,,,,,,,,,,
1005,6,govern:chooseOne,4.1009,continuedDeepening,2,0,1,1,0,0,,,,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,1399,3,0,"[{""key"":""policyInnerPreview:chooseOneRun"",""count"":1,""totalMs"":3.5543},{""key"":""policyInnerPreviewSubroutine:driveOption"",""count"":2,""totalMs"":1.8448},{""key"":""policyInnerPreviewSubroutine:resolveRefs"",""count"":2,""totalMs"":1.5114},{""key"":""policyInnerPreviewDriveOption:initialDecisionApply"",""count"":2,""totalMs"":1.3582},{""key"":""policyInnerPreviewDriveOption:canonicalizeForExit"",""count"":2,""totalMs"":0.2946},{""key"":""policyMicroturnSearch:chooseOneScoreOptions"",""count"":1,""totalMs"":0.1208},{""key"":""policyInnerPreview:summarizeUsage"",""count"":1,""totalMs"":0.088},{""key"":""policyInnerPreviewSubroutine:surfaceSetup"",""count"":1,""totalMs"":0.0161},{""key"":""evalQuery:countMatchingTokens"",""count"":2,""totalMs"":0.0054},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":1954,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":2,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":3692,""totalMs"":0},{""key"":""policyMicroturnSearch:chooseOneSelectableOptions"",""count"":2,""totalMs"":0}]",policyInnerPreview:2/3.6423ms; policyInnerPreviewSubroutine:5/3.3723ms; policyInnerPreviewDriveOption:4/1.6528ms; policyMicroturnSearch:3/0.1208ms; evalQuery:5650/0.0054ms,no-route-or-unsupported-counter; same-run-hot-path-families=policyInnerPreview:2/3.6423ms; policyInnerPreviewSubroutine:5/3.3723ms; policyInnerPreviewDriveOption:4/1.6528ms; policyMicroturnSearch:3/0.1208ms; evalQuery:5650/0.0054ms,continued-deepening-orchestration-inclusive:2/3.6423ms; inner-preview-subroutine-nested:5/3.3723ms; drive-option-subroutine-nested:4/1.6528ms; unattributed-after-top-level-orchestration:/0.4586ms; policy-search-candidate-scoring-nested:3/0.1208ms; existing-hot-path-bucket-nested:5650/0.0054ms,,arvn,arvn-evolved,0,1,chooseOne,deep1024,"chooseOne:decision:doc.actionPipelines.20.stages[1].effects.1.forEach.effects.0.chooseOne::$governMode@an-loc:none[0]:""patronage""",,,,,,,,,,,,
1005,7,rally,18.2692,singlePass,13,1,0,0,1,4,,,,1,0,0,2,0,2,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.cardEventAction"",""reason"":""production preview-drive does not route card event action candidates"",""count"":2}]",0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,5,1102,18,1,"[{""key"":""tokenStateIndex:refreshCachedEntries"",""count"":136,""totalMs"":1.6475},{""key"":""zobrist:digestDecisionStackFrame"",""count"":4,""totalMs"":0.3665},{""key"":""zobrist:encodeDecisionStackFrame"",""count"":4,""totalMs"":0.2632},{""key"":""policyWasmRuntime:encodeBytecodeInput"",""count"":4,""totalMs"":0.1475},{""key"":""evalQuery:countMatchingTokens"",""count"":111,""totalMs"":0.1287},{""key"":""evalQuery:applyTokenFilter"",""count"":80,""totalMs"":0.1087},{""key"":""evalQuery:applyTokenFilterCacheHit"",""count"":37,""totalMs"":0},{""key"":""evalQuery:applyTokenFilterCompiled"",""count"":80,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCacheHit"",""count"":5508,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensCompiled"",""count"":111,""totalMs"":0},{""key"":""evalQuery:countMatchingTokensFilteredItems"",""count"":11096,""totalMs"":0},{""key"":""policyWasmRuntime:encodedInputCacheMiss"",""count"":4,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheHit"",""count"":3,""totalMs"":0},{""key"":""policyWasmRuntime:encodedStateWordsCacheMiss"",""count"":1,""totalMs"":0},{""key"":""tokenStateIndex:getCacheHit"",""count"":180,""totalMs"":0},{""key"":""zobrist:decisionStackFrameEncodedChars"",""count"":44946,""totalMs"":0},{""key"":""zobrist:decisionStackFrameRunLocalCacheMiss"",""count"":4,""totalMs"":0}]",tokenStateIndex:316/1.6475ms; zobrist:44958/0.6297ms; evalQuery:17023/0.2374ms; policyWasmRuntime:12/0.1475ms,,,,vc,vc-baseline,0,2,actionSelection,standard256,rally|{}|false|operation,,,,,,,,,,,,
1005,8,rally:chooseNStep:add,0.1158,none,22,0,0,0,0,0,,,,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],,no-route-or-unsupported-counter; no-same-run-hot-path-buckets,,,vc,vc-baseline,0,2,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""central-laos:none""",,,,,,,,,,,,
1005,9,rally:chooseNStep:confirm,0.0573,none,23,0,0,0,0,0,,,,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],,no-route-or-unsupported-counter; no-same-run-hot-path-buckets,,,vc,vc-baseline,0,2,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:confirm:null,,,,,,,,,,,,
